Pre Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm,genre_clean
beso al aire,3BallMTY,132,,regional mexicano,,-4.0,4/4,latin music
better off alone,Alice Deejay,137,,pop,,-6.0,4/4,pop
earrings,Malcolm Todd,80,,pop,,-9.0,4/4,pop
se preparo,ozuna,171,,reggaeton,,-4.0,4/4,latin music
tu name,fuerza regida,129,,banda,,-5.0,3/4,latin music
rubicon,peso pluma,140,,banda,,-7.0,3/4,latin music
cora de hielo,ROZ,130,,edm,,-4.0,4/4,electronic
disturbia,Rhianna,125,,pop,,-5.0,4/4,pop
Her,Megan thee stallion,120,,house,,-5.0,4/4,electronic
from the back ,Ayesha Erotica,128,,rap,,-5.0,4/4,hip hop
Worthy,Megan thee stallion,120,,pop,,-4.0,4/4,pop
the way I are,Timbaland,115,,pop,,-6.0,4/4,pop
Diva,Beyonce,146,,pop,,-7.0,4/4,pop
Rabiosa,Shakira,133,,pop,,-5.0,4/4,pop
You Make Me Feel,Cobra Starship,132,,pop,,-3.0,4/4,pop
Ah We Ah,Ahmed Mounib,80,,pop,,-14.0,4/4,pop
After the Beep,Faye Wong,96,,pop,,-10.0,4/4,pop
Le Le Dine,Ciwan Haco,104,,pop,,-10.0,4/4,pop
